date,open,high,low,close,volume,change_rate
2024-07-12,92300,92900,91600,92200,29244,0.3264417845484222
2024-07-15,93000,93700,90300,90600,72220,-1.735357917570499
2024-07-16,91100,93300,90700,91600,68660,1.1037527593818985
2024-07-17,91800,92500,89700,90300,104786,-1.4192139737991267
2024-07-18,90400,91200,89100,90700,63235,0.4429678848283499
2024-07-19,91300,93500,89800,93200,94759,2.7563395810363835
2024-07-22,93200,93200,90900,91200,48072,-2.1459227467811157
2024-07-23,91200,95300,90900,93100,108741,2.083333333333333
2024-07-24,92300,97000,91600,96000,138210,3.1149301825993554
2024-07-25,95900,97400,94100,94500,87113,-1.5625
2024-07-26,94600,95100,93300,94200,47625,-0.31746031746031744
2024-07-29,94200,96900,94000,95500,44652,1.3800424628450108
2024-07-30,95200,99300,94700,97300,130288,1.8848167539267016
2024-07-31,97300,100500,96600,98500,133032,1.2332990750256936
2024-08-01,98500,100500,97600,98800,100389,0.3045685279187817
2024-08-02,97700,101800,96700,99700,156302,0.9109311740890688
2024-08-05,99700,100000,91000,93300,102931,-6.41925777331996
2024-08-06,94200,99400,94200,96700,73926,3.644158628081458
2024-08-07,96100,100300,95800,97900,73964,1.2409513960703205
2024-08-08,98000,101000,97400,99200,130553,1.3278855975485189
2024-08-09,100200,101600,98500,98600,78408,-0.6048387096774194
2024-08-12,100000,101500,99500,100300,81752,1.7241379310344827
2024-08-13,100300,101100,94000,94000,143072,-6.281156530408774
2024-08-14,95000,96000,93200,96000,94050,2.127659574468085
2024-08-16,96900,96900,93900,93900,97479,-2.1875
2024-08-19,94300,95100,92800,94600,65741,0.7454739084132056
2024-08-20,94700,95200,93400,93800,76247,-0.8456659619450317
2024-08-21,94200,96200,93500,93500,69450,-0.31982942430703626
2024-08-22,93500,94200,91400,91800,77812,-1.8181818181818181
2024-08-23,92300,94100,92100,93800,55912,2.178649237472767
2024-08-26,94000,97000,93500,96400,76500,2.771855010660981
2024-08-27,96600,97800,93700,97400,100473,1.0373443983402488
2024-08-28,97400,97400,94200,95900,69260,-1.5400410677618068
2024-08-29,95000,95300,93300,93400,71651,-2.6068821689259645
2024-08-30,94300,96000,93600,94300,84169,0.9635974304068522
2024-09-02,95100,95700,93600,94100,48478,-0.2120890774125133
2024-09-03,93800,96900,93800,96500,56391,2.5504782146652496
2024-09-04,95000,95000,91600,92100,90424,-4.5595854922279795
2024-09-05,93000,98300,92200,97400,122622,5.754614549402823
2024-09-06,97400,102500,97100,100800,229007,3.4907597535934287
2024-09-09,99800,102000,97800,101500,101881,0.6944444444444444
2024-09-10,101100,103700,98400,98500,112656,-2.955665024630542
2024-09-11,99900,105400,99700,104000,184153,5.583756345177665
2024-09-12,104400,105100,99700,101700,158310,-2.2115384615384617
2024-09-13,102000,102000,100100,101400,41872,-0.2949852507374631
2024-09-19,102200,102300,98500,99700,59675,-1.6765285996055226
2024-09-20,100200,100600,96700,96700,113030,-3.009027081243731
2024-09-23,97500,99300,96400,98400,71386,1.7580144777662874
2024-09-24,98900,99300,97700,98300,39208,-0.10162601626016261
2024-09-25,99100,100000,97100,97100,58256,-1.2207527975584944
2024-09-26,97900,97900,96100,97200,59291,0.10298661174047373
2024-09-27,97900,99000,96500,97600,54008,0.411522633744856
2024-09-30,98500,98800,93100,93100,106076,-4.610655737704918
2024-10-02,92000,93600,90600,92900,63640,-0.21482277121374865
2024-10-04,92300,93600,91300,92700,44562,-0.2152852529601722
2024-10-07,93200,93200,91700,92000,40658,-0.7551240560949299
2024-10-08,92000,92200,89500,89800,102652,-2.391304347826087
2024-10-10,90700,91000,89100,90500,107033,0.779510022271715
2024-10-11,91000,91300,89200,89500,45708,-1.1049723756906076
2024-10-14,89500,90400,89100,90200,41381,0.782122905027933
2024-10-15,90200,90400,87900,89000,86115,-1.3303769401330376
2024-10-16,88500,89100,86700,88800,96762,-0.22471910112359553
2024-10-17,89100,89300,87600,88100,59951,-0.7882882882882882
2024-10-18,88300,89300,87900,89300,53969,1.362088535754824
2024-10-21,89500,89500,87700,88300,64787,-1.1198208286674132
2024-10-22,88300,88300,84200,87100,127463,-1.3590033975084939
2024-10-23,86400,90300,86400,89200,102370,2.4110218140068884
2024-10-24,89600,90500,87700,90500,59926,1.4573991031390134
2024-10-25,90600,90600,88300,88700,82686,-1.9889502762430937
2024-10-28,88700,89900,88300,89200,29943,0.5636978579481398
2024-10-29,89200,90500,87800,90500,39903,1.4573991031390134
2024-10-30,89900,90000,86400,87300,93158,-3.535911602209945
2024-10-31,87200,88200,85400,87800,71793,0.572737686139748
2024-11-01,87100,90000,86200,88400,61976,0.683371298405467
2024-11-04,88100,89400,87800,89000,39487,0.6787330316742082
2024-11-05,88200,90600,88200,88600,51628,-0.44943820224719105
2024-11-06,88700,89400,87700,88900,51365,0.33860045146726864
2024-11-07,88100,88500,86100,86200,69878,-3.0371203599550056
2024-11-08,87000,90600,86400,88300,83856,2.436194895591647
2024-11-11,86800,87400,82700,83100,122353,-5.889014722536806
2024-11-12,82500,83100,80200,80200,83160,-3.489771359807461
2024-11-13,78300,80600,78300,79600,47375,-0.7481296758104738
2024-11-14,79600,80500,78300,78900,55067,-0.8793969849246231
2024-11-15,78900,79300,76800,77900,310316,-1.2674271229404308
2024-11-18,77300,79700,77300,78900,48141,1.2836970474967908
2024-11-19,79000,79800,78000,79600,31015,0.8871989860583016
2024-11-20,79700,81800,79100,81300,48211,2.135678391959799
2024-11-21,81600,81600,79200,79200,44463,-2.5830258302583027
2024-11-22,79300,80300,78900,79400,34189,0.25252525252525254
2024-11-25,80200,80800,79400,80000,44999,0.7556675062972292
2024-11-26,79500,81500,78800,81400,54833,1.7500000000000002
2024-11-27,81500,82400,80400,80800,47011,-0.7371007371007371
2024-11-28,81400,84400,80400,82900,71800,2.599009900990099
2024-11-29,83000,83200,81600,81900,34329,-1.2062726176115801
2024-12-02,82700,83500,81800,82000,41669,0.1221001221001221
2024-12-03,83000,85100,82100,84400,55276,2.9268292682926833
2024-12-04,83800,84400,82200,83000,36911,-1.6587677725118484
2024-12-05,82400,82600,80700,81500,30893,-1.8072289156626504
2024-12-06,80700,82100,79600,81100,38827,-0.49079754601227
2024-12-09,80500,80600,78100,79200,44266,-2.342786683107275
2024-12-10,79500,82600,79500,82100,50514,3.6616161616161618
2024-12-11,81500,83700,81100,83000,41849,1.0962241169305724
2024-12-12,83200,85700,82800,83700,81364,0.8433734939759037
2024-12-13,83700,86300,83400,85700,65244,2.3894862604540026
2024-12-16,85700,86200,83500,84000,38349,-1.9836639439906651
2024-12-17,84000,84300,82600,82600,43784,-1.6666666666666667
2024-12-18,83300,84600,82700,84200,35583,1.937046004842615
2024-12-19,83200,83400,81500,81600,49319,-3.0878859857482186
2024-12-20,81600,82200,80200,80900,48838,-0.857843137254902
2024-12-23,81600,82800,80400,82500,38073,1.9777503090234856
2024-12-24,82700,83400,81800,82200,30324,-0.36363636363636365
2024-12-26,83000,83200,81000,81200,34883,-1.2165450121654502
2024-12-27,86500,91000,85200,85700,435740,5.541871921182266
2024-12-30,84900,85600,82800,84400,93648,-1.5169194865810969
2025-01-02,84600,85900,81300,84100,77119,-0.35545023696682465
2025-01-03,83700,87400,83500,85100,52667,1.1890606420927468
2025-01-06,86300,88300,84800,87000,76586,2.2326674500587544
2025-01-07,89000,89000,85600,85700,79305,-1.4942528735632183
2025-01-08,85200,87000,84700,86100,59463,0.4667444574095682
2025-01-09,85800,87300,85500,85500,73607,-0.6968641114982579
2025-01-10,85500,86900,84800,84800,49717,-0.8187134502923977
2025-01-13,84700,85200,83200,84300,42444,-0.589622641509434
2025-01-14,84700,84700,81500,81800,80181,-2.965599051008304
2025-01-15,82000,83300,81200,81600,54682,-0.24449877750611246
2025-01-16,82300,82300,80200,80900,125545,-0.857843137254902
2025-01-17,80600,81700,80300,80600,60543,-0.3708281829419036
2025-01-20,81100,81100,79400,80200,62941,-0.49627791563275436
2025-01-21,80700,80800,79500,80400,60702,0.24937655860349126
2025-01-22,80700,81400,80200,81200,40206,0.9950248756218906
2025-01-23,81500,81500,80300,80300,55999,-1.1083743842364533
2025-01-24,81000,81000,79500,79500,54721,-0.9962640099626401
2025-01-31,80200,81600,79300,79800,72513,0.37735849056603776
2025-02-03,79300,79600,77500,78500,80213,-1.6290726817042605
2025-02-04,79000,81500,78800,79800,75040,1.6560509554140128
2025-02-05,80600,81400,80100,80300,32525,0.6265664160401002
2025-02-06,81200,81800,80500,81200,48371,1.1207970112079702
2025-02-07,81200,82300,80000,81800,54057,0.7389162561576355
2025-02-10,81900,86000,81900,84100,117158,2.8117359413202934
2025-02-11,84100,89300,83400,88900,203915,5.707491082045184
2025-02-12,90400,94800,88800,94300,286213,6.074240719910011
2025-02-13,93700,96400,92700,95200,138884,0.9544008483563097
2025-02-14,94500,95900,93800,95300,105149,0.10504201680672269
2025-02-17,96100,97000,94400,96200,73116,0.944386149003148
2025-02-18,95600,96700,94700,96100,62685,-0.10395010395010396
2025-02-19,94700,98500,94700,95400,84446,-0.72840790842872
2025-02-20,94200,97500,93800,97500,92617,2.20125786163522
2025-02-21,97500,97700,95000,97100,58345,-0.41025641025641024
2025-02-24,95600,97700,95400,96200,53956,-0.9268795056642637
2025-02-25,95500,97500,94200,96600,79827,0.4158004158004158
2025-02-26,98200,98200,95400,96500,59701,-0.10351966873706005
2025-02-27,95600,97100,94800,95700,62978,-0.8290155440414507
2025-02-28,95600,95600,92300,93600,75436,-2.19435736677116
2025-03-04,93600,93600,89500,89700,68318,-4.166666666666666
2025-03-05,91100,94000,89400,93200,103675,3.901895206243032
2025-03-06,94800,96400,92700,96200,81628,3.2188841201716736
2025-03-07,96200,96500,94800,94900,40792,-1.3513513513513513
2025-03-10,94400,98200,94400,96800,69807,2.0021074815595363
2025-03-11,94800,94800,93300,94100,84575,-2.7892561983471076
2025-03-12,93600,94500,92600,92800,35929,-1.381509032943677
2025-03-13,92800,93500,90300,90300,81010,-2.693965517241379
2025-03-14,89900,92300,89900,90400,41134,0.11074197120708748
2025-03-17,90700,91500,88800,89500,54341,-0.995575221238938
2025-03-18,90400,91300,88200,88600,57112,-1.005586592178771
2025-03-19,87900,90300,87600,88900,42373,0.33860045146726864
2025-03-20,89200,89900,87550,87800,57359,-1.2373453318335208
2025-03-21,87800,89400,85800,87400,113193,-0.45558086560364464
2025-03-24,87400,89000,87100,87700,38986,0.34324942791762014
2025-03-25,87100,87700,85200,86500,69957,-1.3683010262257698
2025-03-26,86700,87300,85500,86300,30449,-0.23121387283236997
2025-03-27,85700,86300,85100,85300,40332,-1.1587485515643106
2025-03-28,85300,85600,83700,85600,41332,0.3516998827667058
2025-03-31,84900,86300,83700,86300,56072,0.8177570093457943
2025-04-01,86300,86600,85000,85800,32716,-0.5793742757821553
2025-04-02,85900,86200,84600,84900,31267,-1.048951048951049
2025-04-03,84200,84200,81800,82900,45291,-2.3557126030624262
2025-04-04,83400,89700,82600,89400,98545,7.840772014475271
2025-04-07,86600,87200,84600,85700,52379,-4.138702460850112
2025-04-08,85900,86500,79800,80000,102484,-6.651108518086348
2025-04-09,79800,81800,79600,81300,45268,1.625
2025-04-10,82300,83600,81400,82200,80871,1.107011070110701
2025-04-11,81400,84000,81400,82700,73356,0.6082725060827251
2025-04-14,82700,83000,81600,82100,65190,-0.7255139056831923
2025-04-15,82200,83300,81700,82600,43652,0.6090133982947624
2025-04-16,83400,83500,81600,81800,39146,-0.9685230024213075
2025-04-17,82400,82500,81200,81900,42019,0.12224938875305623
2025-04-18,82100,84100,81300,83500,45415,1.9536019536019535
2025-04-21,83900,85700,83000,85000,44815,1.7964071856287425
2025-04-22,84900,85400,82700,83400,69178,-1.8823529411764703
2025-04-23,84300,85500,84100,84500,61834,1.3189448441247003
2025-04-24,84800,84900,82900,83200,46814,-1.5384615384615385
2025-04-25,83700,83800,82500,82500,55975,-0.8413461538461539
2025-04-28,82900,83100,82500,82900,40107,0.48484848484848486
2025-04-29,83000,83000,82200,82400,44499,-0.6031363088057901
2025-04-30,82500,83300,82400,83200,46289,0.9708737864077669
2025-05-02,83200,83300,81900,81900,49850,-1.5625
2025-05-07,82700,84800,82500,84100,81638,2.6862026862026864
2025-05-08,83500,86100,83000,83000,81614,-1.3079667063020213
2025-05-09,83200,85000,83000,84200,37769,1.4457831325301205
2025-05-12,85000,85800,84600,85500,34014,1.5439429928741093
2025-05-13,84700,85600,82600,82900,92836,-3.0409356725146197
2025-05-14,83200,83600,80900,81000,168141,-2.2919179734620023
2025-05-15,81100,81100,79200,79200,130764,-2.2222222222222223
2025-05-16,79700,79800,78700,79500,68841,0.3787878787878788
2025-05-19,79500,80900,79000,79200,60700,-0.37735849056603776
2025-05-20,79500,79500,77700,77900,89912,-1.6414141414141417
2025-05-21,78100,78500,77500,77600,58144,-0.38510911424903727
2025-05-22,77600,80400,77400,79100,108270,1.9329896907216495
2025-05-23,79200,80500,78900,80100,57906,1.2642225031605563
2025-05-26,80100,80400,79300,80100,52510,0.0
2025-05-27,79600,80300,79300,79800,36609,-0.37453183520599254
2025-05-28,79800,80900,79800,80500,55246,0.8771929824561403
2025-05-29,80900,81500,80200,81200,62629,0.8695652173913043
2025-05-30,80700,81800,80400,80400,55967,-0.9852216748768473
2025-06-02,80100,80800,79500,79900,47431,-0.6218905472636816
2025-06-04,80700,84100,80500,83500,147399,4.505632040050062
2025-06-05,82900,85000,82800,84500,102961,1.1976047904191618
2025-06-09,85000,88200,84800,87400,117615,3.4319526627218933
2025-06-10,88700,88900,86100,87300,112937,-0.11441647597254005
2025-06-11,87200,88400,86600,87500,51859,0.22909507445589922
2025-06-12,87000,88300,85900,85900,101235,-1.8285714285714287
2025-06-13,86300,87800,84800,85100,90796,-0.9313154831199069
2025-06-16,84500,85800,83500,84300,60652,-0.9400705052878966
2025-06-17,84800,85000,82900,83500,62615,-0.9489916963226572
2025-06-18,82800,85100,82800,84900,52308,1.6766467065868262
2025-06-19,85100,86050,84700,85500,58706,0.7067137809187279
2025-06-20,85900,92300,85300,90700,221613,6.081871345029239
2025-06-23,89800,89900,86900,87900,73989,-3.0871003307607494
2025-06-24,91200,91200,88300,88900,97012,1.1376564277588168
2025-06-25,89800,90000,88500,89200,49547,0.3374578177727784
2025-06-26,89200,89200,86300,87300,69915,-2.130044843049327
2025-06-27,87400,88400,86300,87500,54219,0.22909507445589922
2025-06-30,88400,88700,87200,87400,40476,-0.1142857142857143
2025-07-01,87400,90100,87400,88600,86275,1.3729977116704806
2025-07-02,89100,90700,88100,90400,55210,2.0316027088036117
2025-07-03,91200,91800,89700,91400,88099,1.1061946902654867
2025-07-04,91900,91900,89800,90700,56909,-0.7658643326039387
2025-07-07,90800,92500,90000,90900,45536,0.2205071664829107
2025-07-08,91500,91500,88800,89700,86978,-1.3201320132013201
2025-07-09,89900,93700,89500,93600,117478,4.3478260869565215
2025-07-10,92900,93700,92400,92800,85246,-0.8547008547008548
2025-07-11,92900,95300,92600,94000,101464,1.293103448275862
2025-07-14,94000,95000,92300,94800,49181,0.851063829787234
2025-07-15,94600,95500,93200,94100,56707,-0.7383966244725738
2025-07-16,94100,94100,92500,92600,50209,-1.5940488841657812
2025-07-17,93200,94400,92100,94400,55692,1.9438444924406046
2025-07-18,94300,94800,91800,92300,56103,-2.2245762711864407
2025-07-21,91400,93000,91100,92200,42828,-0.10834236186348861
2025-07-22,92200,93200,91600,92500,53301,0.32537960954446854
2025-07-23,93100,93100,90800,91500,59784,-1.0810810810810811
2025-07-24,91100,92200,88900,89800,67631,-1.8579234972677594
2025-07-25,89000,90500,88900,90000,48693,0.22271714922048996
2025-07-28,89700,90900,87700,88700,54068,-1.4444444444444444
2025-07-29,88200,89600,87400,89200,48866,0.5636978579481398
2025-07-30,88600,90400,88600,89600,38067,0.4484304932735426
2025-07-31,89900,90300,88500,89000,50538,-0.6696428571428571
2025-08-01,88200,88800,86100,86100,78318,-3.258426966292135
2025-08-04,85700,88100,85400,87600,55865,1.7421602787456445
2025-08-05,88300,89000,85500,86300,64038,-1.4840182648401825
2025-08-06,86000,88400,85900,88200,51142,2.20162224797219
2025-08-07,88600,88600,87100,88000,62564,-0.22675736961451248
2025-08-08,88300,90800,86100,87200,104057,-0.9090909090909091
2025-08-11,87300,87300,84000,84600,106316,-2.981651376146789
2025-08-12,84500,85100,83400,83600,77246,-1.1820330969267139
2025-08-13,84300,84400,82300,83400,53489,-0.23923444976076555
2025-08-14,83700,83900,82700,83100,69678,-0.3597122302158274
2025-08-18,83500,83900,82600,82900,42797,-0.24067388688327318
2025-08-19,83400,83600,81700,82200,58079,-0.8443908323281062
2025-08-20,82800,83200,81000,83100,56197,1.094890510948905
2025-08-21,83600,84000,82400,82700,49511,-0.48134777376654636
2025-08-22,82900,83400,82000,82300,28956,-0.48367593712212814
2025-08-25,83100,84200,82600,84100,51210,2.187120291616039
2025-08-26,83900,83900,82800,83500,44745,-0.713436385255648
2025-08-27,83600,84200,82600,83000,36510,-0.5988023952095809
2025-08-28,83000,84700,82300,83800,60892,0.9638554216867471
2025-08-29,84400,84500,82900,83500,44514,-0.35799522673031026
2025-09-01,84000,84000,82500,82700,37411,-0.9580838323353293
2025-09-02,82500,83100,81800,82200,46622,-0.6045949214026602
2025-09-03,81900,82500,81800,81900,43239,-0.36496350364963503
2025-09-04,82000,82900,81600,82500,60672,0.7326007326007326
2025-09-05,82500,84200,82500,83500,81684,1.2121212121212122
2025-09-08,83500,83600,82700,83100,32443,-0.47904191616766467
2025-09-09,83600,83600,82400,83500,32965,0.48134777376654636
2025-09-10,83300,84000,83300,83500,47848,0.0
2025-09-11,83500,84000,82400,83100,79140,-0.47904191616766467
2025-09-12,83400,84100,83100,83700,62306,0.7220216606498195
2025-09-15,83800,87500,83700,86500,108668,3.345280764635603
2025-09-16,86500,86600,85300,85400,42042,-1.2716763005780347
2025-09-17,85400,85500,84300,85100,39828,-0.351288056206089
2025-09-18,84800,86200,84800,85500,34581,0.4700352526439483
2025-09-19,85100,85500,84000,84400,35332,-1.2865497076023393
